Date,Rented Bike Count,Hour,Temperature (C),Humidity (%),Seasons,Holiday,Functioning Day,Datetime,Precipitation
2017-12-01,254,0,-5.2,37,Winter,No Holiday,Yes,2017-12-01 00:00:00,0
2017-12-01,204,1,-5.5,38,Winter,No Holiday,Yes,2017-12-01 01:00:00,0
2017-12-01,173,2,-6.0,39,Winter,No Holiday,Yes,2017-12-01 02:00:00,0
2017-12-01,107,3,-6.2,40,Winter,No Holiday,Yes,2017-12-01 03:00:00,0
2017-12-01,78,4,-6.0,36,Winter,No Holiday,Yes,2017-12-01 04:00:00,0
2017-12-01,100,5,-6.4,37,Winter,No Holiday,Yes,2017-12-01 05:00:00,0
2017-12-01,181,6,-6.6,35,Winter,No Holiday,Yes,2017-12-01 06:00:00,0
2017-12-01,460,7,-7.4,38,Winter,No Holiday,Yes,2017-12-01 07:00:00,0
2017-12-01,930,8,-7.6,37,Winter,No Holiday,Yes,2017-12-01 08:00:00,0
2017-12-01,490,9,-6.5,27,Winter,No Holiday,Yes,2017-12-01 09:00:00,0
2017-12-01,339,10,-3.5,24,Winter,No Holiday,Yes,2017-12-01 10:00:00,0
2017-12-01,360,11,-0.5,21,Winter,No Holiday,Yes,2017-12-01 11:00:00,0
2017-12-01,449,12,1.7,23,Winter,No Holiday,Yes,2017-12-01 12:00:00,0
2017-12-01,451,13,2.4,25,Winter,No Holiday,Yes,2017-12-01 13:00:00,0
2017-12-01,447,14,3.0,26,Winter,No Holiday,Yes,2017-12-01 14:00:00,0
2017-12-01,463,15,2.1,36,Winter,No Holiday,Yes,2017-12-01 15:00:00,0
2017-12-01,484,16,1.2,54,Winter,No Holiday,Yes,2017-12-01 16:00:00,0
2017-12-01,555,17,0.8,58,Winter,No Holiday,Yes,2017-12-01 17:00:00,0
2017-12-01,862,18,0.6,66,Winter,No Holiday,Yes,2017-12-01 18:00:00,0
2017-12-01,600,19,0.0,77,Winter,No Holiday,Yes,2017-12-01 19:00:00,0
2017-12-01,426,20,-0.3,79,Winter,No Holiday,Yes,2017-12-01 20:00:00,0
2017-12-01,405,21,-0.8,81,Winter,No Holiday,Yes,2017-12-01 21:00:00,0
2017-12-01,398,22,-0.9,83,Winter,No Holiday,Yes,2017-12-01 22:00:00,0
2017-12-01,323,23,-1.3,84,Winter,No Holiday,Yes,2017-12-01 23:00:00,0
2017-12-02,328,0,-1.8,87,Winter,No Holiday,Yes,2017-12-02 00:00:00,0
2017-12-02,308,1,-2.2,86,Winter,No Holiday,Yes,2017-12-02 01:00:00,0
2017-12-02,262,2,-2.9,86,Winter,No Holiday,Yes,2017-12-02 02:00:00,0
2017-12-02,167,3,-3.5,81,Winter,No Holiday,Yes,2017-12-02 03:00:00,0
2017-12-02,89,4,-3.8,79,Winter,No Holiday,Yes,2017-12-02 04:00:00,0
2017-12-02,79,5,-4.0,79,Winter,No Holiday,Yes,2017-12-02 05:00:00,0
2017-12-02,70,6,-4.3,82,Winter,No Holiday,Yes,2017-12-02 06:00:00,0
2017-12-02,146,7,-4.4,81,Winter,No Holiday,Yes,2017-12-02 07:00:00,0
2017-12-02,219,8,-4.2,79,Winter,No Holiday,Yes,2017-12-02 08:00:00,0
2017-12-02,328,9,-2.9,68,Winter,No Holiday,Yes,2017-12-02 09:00:00,0
2017-12-02,334,10,-0.4,57,Winter,No Holiday,Yes,2017-12-02 10:00:00,0
2017-12-02,388,11,1.9,49,Winter,No Holiday,Yes,2017-12-02 11:00:00,0
2017-12-02,479,12,4.3,41,Winter,No Holiday,Yes,2017-12-02 12:00:00,0
2017-12-02,606,13,6.0,36,Winter,No Holiday,Yes,2017-12-02 13:00:00,0
2017-12-02,611,14,7.3,35,Winter,No Holiday,Yes,2017-12-02 14:00:00,0
2017-12-02,589,15,7.6,41,Winter,No Holiday,Yes,2017-12-02 15:00:00,0
2017-12-02,618,16,6.4,48,Winter,No Holiday,Yes,2017-12-02 16:00:00,0
2017-12-02,572,17,6.0,51,Winter,No Holiday,Yes,2017-12-02 17:00:00,0
2017-12-02,489,18,5.5,53,Winter,No Holiday,Yes,2017-12-02 18:00:00,0
2017-12-02,385,19,5.0,52,Winter,No Holiday,Yes,2017-12-02 19:00:00,0
