Hour,Temperature (C),Humidity (%),Seasons,Holiday,Functioning Day,Precipitation,Day,Month,Year
0,,,1,0,1,,1,12,2017
1,,,1,0,1,,1,12,2017
2,,,1,0,1,,1,12,2017
3,,,1,0,1,,1,12,2017
4,,,1,0,1,,1,12,2017
5,,,1,0,1,,1,12,2017
6,,,1,0,1,,1,12,2017
7,,,1,0,1,,1,12,2017
8,,,1,0,1,,1,12,2017
9,,,1,0,1,,1,12,2017
10,,,1,0,1,,1,12,2017
11,,,1,0,1,,1,12,2017
12,,,1,0,1,,1,12,2017
13,,,1,0,1,,1,12,2017
14,,,1,0,1,,1,12,2017
15,,,1,0,1,,1,12,2017
16,,,1,0,1,,1,12,2017
17,,,1,0,1,,1,12,2017
18,,,1,0,1,,1,12,2017
19,,,1,0,1,,1,12,2017
20,,,1,0,1,,1,12,2017
21,,,1,0,1,,1,12,2017
22,,,1,0,1,,1,12,2017
23,,,1,0,1,,1,12,2017
