Date,Hour,Temperature (C),Humidity (%),Seasons,Holiday,Functioning Day,Precipitation
2017-12-01,0,-5.2,37,Winter,No Holiday,Yes,0
2017-12-01,1,-5.5,38,Winter,No Holiday,Yes,0
2017-12-01,2,-6.0,39,Winter,No Holiday,Yes,0
2017-12-01,3,-6.2,40,Winter,No Holiday,Yes,0
2017-12-01,4,-6.0,36,Winter,No Holiday,Yes,0
2017-12-01,5,-6.4,37,Winter,No Holiday,Yes,0
2017-12-01,6,-6.6,35,Winter,No Holiday,Yes,0
2017-12-01,7,-7.4,38,Winter,No Holiday,Yes,0
2017-12-01,8,-7.6,37,Winter,No Holiday,Yes,0
2017-12-01,9,-6.5,27,Winter,No Holiday,Yes,0
2017-12-01,10,-3.5,24,Winter,No Holiday,Yes,0
2017-12-01,11,-0.5,21,Winter,No Holiday,Yes,0
2017-12-01,12,1.7,23,Winter,No Holiday,Yes,0
2017-12-01,13,2.4,25,Winter,No Holiday,Yes,0
2017-12-01,14,3.0,26,Winter,No Holiday,Yes,0
2017-12-01,15,2.1,36,Winter,No Holiday,Yes,0
2017-12-01,16,1.2,54,Winter,No Holiday,Yes,0
2017-12-01,17,0.8,58,Winter,No Holiday,Yes,0
2017-12-01,18,0.6,66,Winter,No Holiday,Yes,0
2017-12-01,19,0.0,77,Winter,No Holiday,Yes,0
2017-12-01,20,-0.3,79,Winter,No Holiday,Yes,0
2017-12-01,21,-0.8,81,Winter,No Holiday,Yes,0
2017-12-01,22,-0.9,83,Winter,No Holiday,Yes,0
2017-12-01,23,-1.3,84,Winter,No Holiday,Yes,0
2017-12-02,0,-1.8,87,Winter,No Holiday,Yes,0
2017-12-02,1,-2.2,86,Winter,No Holiday,Yes,0
2017-12-02,2,-2.9,86,Winter,No Holiday,Yes,0
2017-12-02,3,-3.5,81,Winter,No Holiday,Yes,0
2017-12-02,4,-3.8,79,Winter,No Holiday,Yes,0
2017-12-02,5,-4.0,79,Winter,No Holiday,Yes,0
2017-12-02,6,-4.3,82,Winter,No Holiday,Yes,0
2017-12-02,7,-4.4,81,Winter,No Holiday,Yes,0
2017-12-02,8,-4.2,79,Winter,No Holiday,Yes,0
2017-12-02,9,-2.9,68,Winter,No Holiday,Yes,0
2017-12-02,10,-0.4,57,Winter,No Holiday,Yes,0
2017-12-02,11,1.9,49,Winter,No Holiday,Yes,0
2017-12-02,12,4.3,41,Winter,No Holiday,Yes,0
2017-12-02,13,6.0,36,Winter,No Holiday,Yes,0
2017-12-02,14,7.3,35,Winter,No Holiday,Yes,0
2017-12-02,15,7.6,41,Winter,No Holiday,Yes,0
2017-12-02,16,6.4,48,Winter,No Holiday,Yes,0
2017-12-02,17,6.0,51,Winter,No Holiday,Yes,0
2017-12-02,18,5.5,53,Winter,No Holiday,Yes,0
2017-12-02,19,5.0,52,Winter,No Holiday,Yes,0
2017-12-02,20,4.6,51,Winter,No Holiday,Yes,0
2017-12-02,21,4.1,55,Winter,No Holiday,Yes,0
2017-12-02,22,3.5,54,Winter,No Holiday,Yes,0
2017-12-02,23,4.0,56,Winter,No Holiday,Yes,0
2017-12-03,0,4.0,58,Winter,No Holiday,Yes,0
2017-12-03,1,3.9,69,Winter,No Holiday,Yes,0
2017-12-03,2,3.3,79,Winter,No Holiday,Yes,0
2017-12-03,3,3.4,71,Winter,No Holiday,Yes,1
2017-12-03,4,3.5,73,Winter,No Holiday,Yes,0
2017-12-03,5,3.9,75,Winter,No Holiday,Yes,0
2017-12-03,6,3.4,86,Winter,No Holiday,Yes,1
2017-12-03,7,3.1,91,Winter,No Holiday,Yes,0
2017-12-03,8,3.2,92,Winter,No Holiday,Yes,0
2017-12-03,9,3.5,91,Winter,No Holiday,Yes,1
2017-12-03,10,4.4,89,Winter,No Holiday,Yes,0
2017-12-03,11,5.1,87,Winter,No Holiday,Yes,0
2017-12-03,12,5.8,85,Winter,No Holiday,Yes,0
2017-12-03,13,6.8,81,Winter,No Holiday,Yes,0
2017-12-03,14,7.6,76,Winter,No Holiday,Yes,0
2017-12-03,15,8.0,73,Winter,No Holiday,Yes,0
2017-12-03,16,7.6,77,Winter,No Holiday,Yes,0
2017-12-03,17,6.7,82,Winter,No Holiday,Yes,0
2017-12-03,18,6.0,84,Winter,No Holiday,Yes,0
2017-12-03,19,5.7,85,Winter,No Holiday,Yes,0
2017-12-03,20,5.2,87,Winter,No Holiday,Yes,0
2017-12-03,21,4.7,87,Winter,No Holiday,Yes,0
2017-12-03,22,4.3,89,Winter,No Holiday,Yes,0
2017-12-03,23,3.9,90,Winter,No Holiday,Yes,0
2017-12-04,0,4.2,88,Winter,No Holiday,Yes,0
2017-12-04,1,4.3,87,Winter,No Holiday,Yes,0
2017-12-04,2,4.4,87,Winter,No Holiday,Yes,0
2017-12-04,3,3.6,85,Winter,No Holiday,Yes,0
2017-12-04,4,2.8,89,Winter,No Holiday,Yes,0
2017-12-04,5,2.0,83,Winter,No Holiday,Yes,0
2017-12-04,6,1.2,76,Winter,No Holiday,Yes,1
2017-12-04,7,0.2,68,Winter,No Holiday,Yes,0
2017-12-04,8,-0.8,69,Winter,No Holiday,Yes,0
2017-12-04,9,-1.5,47,Winter,No Holiday,Yes,0
2017-12-04,10,-1.1,40,Winter,No Holiday,Yes,0
2017-12-04,11,-0.5,41,Winter,No Holiday,Yes,0
2017-12-04,12,-0.3,38,Winter,No Holiday,Yes,0
2017-12-04,13,0.0,30,Winter,No Holiday,Yes,0
2017-12-04,14,0.1,27,Winter,No Holiday,Yes,0
2017-12-04,15,-0.1,25,Winter,No Holiday,Yes,0
2017-12-04,16,-0.2,23,Winter,No Holiday,Yes,0
2017-12-04,17,-1.3,26,Winter,No Holiday,Yes,0
2017-12-04,18,-2.1,29,Winter,No Holiday,Yes,0
2017-12-04,19,-2.9,32,Winter,No Holiday,Yes,0
2017-12-04,20,-3.6,38,Winter,No Holiday,Yes,0
2017-12-04,21,-4.6,43,Winter,No Holiday,Yes,0
2017-12-04,22,-5.3,45,Winter,No Holiday,Yes,0
2017-12-04,23,-5.8,44,Winter,No Holiday,Yes,0
